AmountSpend,CardType
167.81,3
809.87,3
111.09,3
579.1,3
409.63,3
281.34,3
1011.05,3
0,3
183.37,3
234.41,3
357.51,3
475.9,3
0,3
205.83,3
246.56,3
0,3
828.81,3
0,3
754.8,3
290.65,3
145.8,3
529.12,3
143.99,3
245.9,3
231.03,3
313.59,3
318.92,3
0,3
473.05,3
76.46,3
305.43,3
308.41,3
98.79,3
196.49,3
187.54,3
235.42,3
204.89,3
0,3
350.63,3
106.34,3
298.58,3
294.77,3
78.22,3
655.2,3
572.46,3
151.61,3
552.88,3
52.56,3
357.39,3
377.13,3
139.35,3
633.2,3
0,3
830.88,3
383.33,3
294.19,3
737.09,3
58.38,3
480.13,3
265.7,3
364.21,3
615.07,3
109.75,3
148.37,3
431.91,3
57.13,3
197.21,3
109.59,3
0,3
349.43,3
183.35,3
821.4,3
0,3
345.04,3
412.29,3
330.98,3
639.37,3
57.57,3
257.22,3
52.61,3
57.02,3
198.96,3
0,3
0,3
288.17,3
0,3
843.43,3
0,3
593.94,3
368.46,3
183.07,3
723.29,3
124.32,3
306.48,3
320.38,3
214.64,3
279.53,3
0,3
287.02,3
362.41,3
280.12,3
399.58,3
149.76,3
104.34,3
199.27,3
218.21,3
447.85,3
151.01,3
602.16,3
704.21,3
379.28,3
977.09,3
139.63,3
431.02,3
318.15,3
193.43,3
430.09,3
96.28,3
266.38,3
576.39,3
243.21,3
43.3,3
120.01,3
350.98,3
86.18,3
112.54,3
253.72,3
88.03,3
261.71,3
280.29,3
163.97,3
512.09,3
0,3
522.89,3
296.71,3
164.96,3
78.28,3
69.64,3
143.1,3
398.81,3
207.22,3
294.88,3
252.52,3
312.54,3
342.6,3
252.06,3
119.85,3
199.8,3
193.82,3
390.01,3
58.72,3
643.8,3
133.67,3
0,3
312.89,3
61.39,3
272,3
0,3
388.97,3
360.23,3
279.5,3
755.94,3
57.84,3
214.47,3
211.52,3
82.87,3
232.8,3
151.23,3
295.33,3
0,3
234.67,3
540.95,3
305.72,3
622.73,3
410.07,3
121.29,3
150.48,3
59.12,3
298.38,3
469.9,3
188.32,3
662.79,3
143.12,3
129.83,3
555.43,3
372.92,3
130.86,3
131.12,3
205.22,3
409.69,3
275.93,3
150.86,3
185.69,3
901.06,3
410.81,3
59.42,3
79.67,3
0,3
195.46,3
62.24,3
202.64,3
99.85,3
142.99,3
343.47,3
0,3
0,3
124.32,3
300.4,3
116.16,3
390.35,3
62,3
440.06,3
0,3
286.7,3
136.63,3
324.82,3
386.2,3
0,3
0,3
172.37,3
336.04,3
356.65,3
110.41,3
227.49,3
64.29,3
327.71,3
280.28,3
178.99,3
778.02,3
224.58,3
127.7,3
482.7,3
0,3
132.83,3
374.84,3
114.63,3
148.26,3
104.82,3
222.36,3
261.75,3
97.62,4
0,4
0,4
940.35,4
0,4
53.76,4
0,4
132.17,4
339.2,4
0,4
0,4
593.4,4
0,4
311.56,4
326.52,4
109.36,4
213.05,4
117.18,4
0,4
0,4
0,4
84.63,4
286.19,4
141,4
0,4
0,4
541.73,4
0,4
0,4
99.19,4
188.42,4
158.23,4
0,4
0,4
60.13,4
0,4
0,4
207.14,4
139.69,4
0,4
0,4
376.06,4
117.46,4
0,4
99.53,4
0,4
589.47,4
122.28,4
0,4
99.66,4
0,4
441.69,4
0,4
181.35,4
68.77,4
0,4
80.1,4
0,4
0,4
131.22,4
339.56,4
229.11,4
0,4
0,4
109.48,4
49.15,4
40.15,4
169.81,4
134.49,4
0,4
95.1,4
196.08,4
0,4
0,4
0,4
0,4
427.8,4
168.22,4
0,4
168.3,4
154.8,4
324.63,4
0,4
0,4
157.94,4
193.26,4
100.25,4
0,4
0,4
234.56,4
0,4
162.1,4
53.65,4
0,4
122.24,4
0,4
0,4
0,4
0,4
0,4
46.02,4
750.76,4
0,4
309.52,4
164.81,4
57.18,4
660.86,4
0,4
0,4
0,4
88.06,4
408.9,4
0,4
0,4
96.41,4
0,4
324.91,4
0,4
0,4
0,4
201.55,2
199.57,2
182.68,2
204.21,2
450.2,2
133.36,2
297.69,2
60.71,2
273.44,2
541.03,2
211.06,2
506.82,2
195.85,2
282.07,2
374.75,2
226.76,2
271.78,2
285.1,2
329.62,2
398.08,2
372.18,2
681.65,2
112.95,2
305.45,2
397.86,2
199.57,2
510.69,2
659.97,2
592.64,2
341.17,2
130.55,2
743.5,2
283.82,2
1016.76,2
171.19,2
139.12,2
260.89,2
132.63,2
159.56,2
188.64,2
90.91,2
463.23,2
357.43,2
703.62,2
192.98,2
452.23,2
629.69,2
210.8,2
249.12,2
617.8,2
340.15,2
615.39,2
261.3,2
270.59,2
0,2
306.78,2
453.74,2
72.35,2
0,2
160.01,2
450.87,2
889.42,2
94.22,2
259.63,2
565.26,2
183.05,2
527.81,2
346.97,2
208.31,2
447.14,2
411.41,2
945.81,2
0,2
282.94,2
231.97,2
229.43,2
465.14,2
148.21,2
212.39,2
294.99,2
313.79,2
589.6,2
83.75,2
779.84,2
524.73,2
171.71,2
434.94,2
156,2
287.4,2
60.44,2
163.2,2
488.97,2
0,2
262.88,2
372.83,2
160.86,2
85.72,2
436.38,2
550.7,2
81.16,2
248.16,2
771.47,2
110.45,2
340.4,2
396,2
172,2
242.64,2
408.57,2
754.67,2
343.45,2
241.24,2
288.05,2
91.58,2
254.94,2
311.52,2
170.33,2
0,2
315.5,2
185.35,2
524.3,2
122.87,3
314.94,3
0,3
125.53,3
354.14,3
0,3
690.14,3
112.99,3
124.57,3
255.61,3
241.64,3
425.43,3
108.1,3
562.51,3
346.38,3
93.11,3
330.37,3
0,3
